name,Image_link,src,Price
Brinjal Green Round (400+ Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Brinjal-Green-Round-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Brinjal-green-round-Non-Hybrid-seeds-online?limit=100,₹30 ₹40
Sorrel Leaves(Gongura Red) (300+ Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Sorrel-Leaves-Red-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Sorrel-Leaves(GonguraRed)?limit=100,₹30 ₹40
Amaranth Red Stem(Koya Thotakura) (1400+Seeds),https://www.seedbasket.in/image/cache/catalog/Koya-Thotakura-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Red-Stem-Amaranth-KoyaThotakoora-seeds-online?limit=100,₹30 ₹40
Ash Gourd (50 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Ash-Gourd-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Ash-Gourd-Seeds-Online?limit=100,₹40
Best Selling Seeds Kit pack of 10,https://www.seedbasket.in/image/cache/catalog/Products/Kits/Best-Vegetable-Seeds-Kit-228x228-0.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Best-Selling-vegetables-Seeds-Kit?limit=100,₹275 ₹295
Cabbage Non-Hybrid (200 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Cabbage-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Cabbage-Seeds-online?limit=100,₹40
Capsicum Bell Pepper (30 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Hybrid/CapsicumBellPepper-228x228-1966935349.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Capsicum-Bell-Pepper-Purple-Seeds-Online?limit=100,₹40
Capsicum Orange Hybrid(20 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Capsicum-Orange-Seeds-228x228-0.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Capsicum-Orange-Seeds-Online?limit=100,₹60
Carrot Red Long (100 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/carrot_red_long-228x228-1966935349.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Carrot-Red-Long-Seeds-Online?limit=100,₹40
Climber Vegetable Seeds Pack of 3,https://www.seedbasket.in/image/cache/catalog/Products/Kits/GourdsPackof3-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Climber-Vegetable-Non-hybrid-seeds-online?limit=100,₹90 ₹120
